"SAMPLE.VALUE","SAMPLE.COUNT","MEAN.VALUE","MEAN.COUNT","ANOM.VALUE","MIN.VALUE","MAX.VALUE","lon","lat","prec","Rice yield"
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,118.05,39.3499984741211,0.041101664,394.7368421
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,118.05,39.4500007629395,0.039514218,394.7368421
0.2985,699501.5,0.28625,756358.5,0.01225,0.24175,0.3195,118.05,39.3499984741211,0.055083193,750
0.2985,699501.5,0.28625,756358.5,0.01225,0.24175,0.3195,118.05,39.4500007629395,0.052738793,750
0.3,639730.333333333,0.299666666666667,756303,0.000333333333333333,0.270666666666667,0.325,118.05,39.3499984741211,0.021759551,868.4210526
0.3,639730.333333333,0.299666666666667,756303,0.000333333333333333,0.270666666666667,0.325,118.05,39.4500007629395,0.01980234,868.4210526
0.43775,711558,0.38525,756365.75,0.0525,0.34,0.44975,118.05,39.3499984741211,0.25689155,828.9473684
0.43775,711558,0.38525,756365.75,0.0525,0.34,0.44975,118.05,39.4500007629395,0.23617384,828.9473684
0.80425,537727.25,0.73975,756330.25,0.0645,0.65225,0.826,118.05,39.3499984741211,0.6500456,868.4210526
0.80425,537727.25,0.73975,756330.25,0.0645,0.65225,0.826,118.05,39.4500007629395,0.6226537,868.4210526
0.8195,559040.25,0.81375,756384,0.00575,0.766,0.84475,118.05,39.3499984741211,0.23708065,592.1052632
0.8195,559040.25,0.81375,756384,0.00575,0.766,0.84475,118.05,39.4500007629395,0.23312062,592.1052632
